City,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Breast milk feeding initiation,Chronic obstructive pulmonary disease (COPD; 35 years and over),Contact with a medical doctor in the past 12 months,"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months","Fruit and vegetable consumption, 5 times or more per day",Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
"Kingston, Ontario",18.75%,9.02%,24.88%,23.99%,1.53%,4.30%,2.12%,65.49%,10.85%,14.74%,6.01%,0.00%,23.23%,78.11%,18.16%,15.39%,41.32%,78.46%,11.20%,9.90%,54.59%,22.46%,7.07%,56.12%,49.75%,3.18%,62.43%
"Kitchener-Cambridge-Waterloo, Ontario",17.69%,8.68%,20.78%,25.74%,0.98%,3.37%,2.17%,57.63%,11.99%,16.00%,5.48%,0.86%,27.03%,75.98%,17.81%,14.89%,24.03%,75.98%,10.87%,10.32%,54.45%,18.67%,6.66%,58.45%,45.66%,3.29%,56.43%
"London, Ontario",17.12%,7.59%,18.27%,24.06%,1.09%,2.41%,2.15%,59.90%,11.11%,15.04%,5.77%,0.00%,24.79%,75.48%,17.38%,14.83%,30.74%,78.17%,9.23%,9.39%,51.76%,18.60%,6.35%,57.94%,46.34%,3.50%,58.99%
"Moncton, New Brunswick",16.20%,6.24%,30.78%,27.60%,0.00%,2.98%,1.56%,68.68%,9.09%,12.34%,6.85%,0.00%,23.26%,76.01%,17.02%,17.36%,27.73%,79.53%,9.83%,10.17%,52.07%,16.14%,6.03%,60.68%,39.94%,1.97%,52.75%
"Montréal, Quebec",13.16%,7.44%,17.55%,26.87%,1.09%,3.73%,2.13%,58.05%,10.51%,15.42%,5.36%,1.21%,31.40%,58.68%,17.22%,13.64%,19.82%,78.80%,4.63%,7.85%,54.73%,21.33%,4.30%,62.23%,45.43%,2.75%,47.74%
"Oshawa, Ontario",22.24%,9.65%,24.82%,29.50%,1.42%,3.96%,3.17%,70.87%,13.41%,17.40%,6.49%,0.93%,25.18%,86.42%,22.94%,17.74%,32.07%,86.62%,13.51%,11.02%,63.12%,23.30%,6.56%,67.55%,54.60%,4.45%,64.20%
"Ottawa-Gatineau, Ontario/Quebec",15.29%,8.79%,18.44%,27.81%,1.14%,3.73%,1.41%,61.92%,9.58%,14.62%,5.18%,1.14%,28.12%,72.16%,16.82%,12.55%,29.24%,79.25%,6.73%,7.71%,56.44%,19.80%,5.30%,61.21%,49.99%,3.51%,54.71%
"Peterborough, Ontario",23.03%,9.57%,24.00%,24.57%,0.00%,3.08%,7.13%,62.75%,10.70%,13.30%,6.32%,0.00%,22.62%,74.10%,16.70%,16.30%,30.89%,74.10%,10.30%,9.00%,51.48%,17.35%,5.84%,54.64%,48.16%,2.59%,61.37%
"Québec, Quebec",17.91%,5.85%,16.54%,28.79%,1.21%,3.72%,2.06%,58.70%,9.20%,12.92%,5.53%,0.54%,33.46%,66.01%,21.63%,14.68%,21.18%,81.87%,3.35%,5.58%,60.13%,19.59%,2.48%,67.41%,44.37%,2.57%,46.60%
"Regina, Saskatchewan",14.01%,8.06%,19.74%,29.68%,1.21%,5.53%,1.33%,61.64%,13.34%,15.96%,6.90%,2.16%,21.45%,66.96%,18.46%,13.72%,26.35%,74.90%,6.94%,6.90%,47.18%,14.67%,6.32%,55.53%,40.32%,2.45%,58.19%
"Saguenay, Quebec",20.31%,9.88%,17.69%,30.56%,0.00%,3.50%,3.25%,63.57%,14.38%,17.75%,7.00%,0.00%,27.19%,70.13%,21.88%,16.88%,28.00%,80.76%,7.38%,7.63%,54.00%,18.13%,3.63%,63.19%,43.63%,1.94%,56.94%
"Saint John, New Brunswick",19.10%,5.03%,24.37%,27.28%,1.65%,2.04%,5.58%,57.38%,13.76%,18.39%,6.21%,0.00%,21.14%,72.16%,16.04%,15.56%,30.89%,69.80%,7.86%,9.75%,47.56%,16.27%,5.90%,53.37%,39.46%,2.91%,52.04%
"Saskatoon, Saskatchewan",11.11%,4.10%,18.20%,30.03%,1.67%,4.49%,1.67%,61.38%,10.36%,15.44%,4.07%,2.10%,23.87%,68.59%,17.64%,11.80%,31.44%,77.18%,5.97%,8.16%,55.54%,15.57%,4.98%,61.21%,45.83%,2.79%,55.64%
"Sherbrooke, Quebec",15.85%,7.88%,18.20%,32.27%,2.06%,4.60%,2.30%,59.05%,12.33%,15.24%,4.78%,0.00%,39.91%,67.40%,23.54%,16.04%,22.28%,87.80%,8.11%,7.46%,59.84%,22.75%,3.47%,70.35%,49.06%,4.13%,56.80%
"St. Catharines-Niagara, Ontario",25.36%,9.43%,22.79%,26.76%,1.22%,2.72%,4.46%,66.00%,13.12%,18.41%,5.97%,0.00%,22.30%,81.25%,18.38%,16.62%,31.16%,81.08%,10.40%,12.26%,55.77%,19.09%,6.59%,65.53%,47.05%,3.53%,60.81%
"St. John's, Newfoundland and Labrador",20.14%,4.89%,26.80%,26.01%,1.03%,5.31%,1.72%,72.21%,12.26%,15.38%,6.06%,2.14%,22.38%,82.88%,23.03%,17.71%,23.17%,78.50%,10.91%,10.07%,58.73%,13.38%,4.80%,63.91%,47.41%,2.38%,62.04%
"Thunder Bay, Ontario",20.62%,6.50%,23.27%,27.84%,0.00%,2.57%,3.05%,60.82%,13.48%,19.26%,5.94%,0.00%,24.07%,73.02%,20.38%,15.81%,32.26%,74.78%,8.10%,11.88%,47.02%,14.68%,5.70%,55.77%,49.35%,2.73%,60.02%
"Toronto, Ontario",14.63%,6.50%,15.73%,25.91%,1.12%,4.24%,1.44%,61.10%,7.96%,12.20%,6.59%,1.34%,21.19%,75.07%,13.02%,14.54%,26.05%,76.08%,5.44%,9.22%,52.51%,19.72%,5.12%,59.61%,42.71%,3.38%,56.43%
"Trois-Rivières, Quebec",17.61%,5.93%,19.33%,25.90%,1.59%,4.40%,2.42%,55.24%,9.44%,13.46%,5.80%,0.00%,29.73%,57.86%,16.27%,15.12%,17.86%,74.12%,4.40%,7.91%,49.25%,16.14%,1.85%,59.39%,35.85%,2.11%,50.07%
"Vancouver, British Columbia",13.17%,6.93%,13.03%,26.60%,1.23%,3.65%,1.53%,65.81%,6.46%,10.89%,5.19%,1.33%,24.20%,72.04%,13.55%,11.95%,29.13%,78.40%,7.81%,9.98%,52.67%,17.63%,6.39%,58.94%,52.01%,3.23%,58.63%
"Victoria, British Columbia",17.99%,6.65%,16.00%,29.63%,0.52%,4.50%,2.40%,67.98%,7.41%,12.76%,4.93%,1.83%,30.34%,71.61%,15.46%,12.13%,31.48%,79.79%,9.19%,9.81%,54.30%,15.48%,4.91%,62.75%,55.04%,3.68%,60.30%
"Windsor, Ontario",22.09%,8.65%,26.22%,23.51%,1.78%,2.68%,4.67%,65.34%,12.52%,15.61%,6.69%,0.00%,20.87%,77.41%,15.96%,17.45%,33.38%,76.67%,7.43%,11.33%,53.33%,16.53%,6.27%,62.87%,41.89%,3.57%,61.54%
"Winnipeg, Manitoba",17.76%,7.47%,19.94%,25.40%,1.69%,4.14%,2.27%,62.58%,11.36%,16.60%,5.26%,1.67%,21.66%,72.37%,15.35%,15.15%,27.19%,77.79%,7.67%,9.94%,53.50%,18.31%,6.16%,59.23%,43.62%,3.61%,57.09%
