REF_DATE,GEO,Age group,Sex,Indicators,Characteristics,VALUE
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,Mood disorder,Number of persons,10000
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional",Number of persons,23400
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Current smoker, daily",Number of persons,17500
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,Heavy drinking,Number of persons,20400
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",Number of persons,50200
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",Number of persons,3700
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,Breast milk feeding initiation,Number of persons,2600
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Exclusive breastfeeding, at least 6 months",Number of persons,
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day",Number of persons,26900
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,66200
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied",Number of persons,88800
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,Has a regular healthcare provider,Number of persons,91800
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,Contact with a medical doctor in the past 12 months,Number of persons,73000
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,Number of persons,39300
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Number of persons,86400
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Perceived health, fair or poor",Number of persons,12200
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent",Number of persons,101100
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor",Number of persons,5800
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,29000
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",Number of persons,48900
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",Number of persons,28300
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Number of persons,
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,Arthritis (15 years and over),Number of persons,32500
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,Diabetes,Number of persons,11200
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,Asthma,Number of persons,15800
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),Number of persons,5200
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,High blood pressure,Number of persons,27000
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,Mood disorder,Number of persons,11800
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional",Number of persons,28400
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Current smoker, daily",Number of persons,23000
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,Heavy drinking,Number of persons,35000
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",Number of persons,69800
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",Number of persons,3100
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,Breast milk feeding initiation,Number of persons,5600
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Exclusive breastfeeding, at least 6 months",Number of persons,
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day",Number of persons,43500
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,91100
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied",Number of persons,129200
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,Has a regular healthcare provider,Number of persons,112200
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,Contact with a medical doctor in the past 12 months,Number of persons,101700
2015,"Saguenay, Quebec","Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,Number of persons,44800
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Number of persons,481700
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Perceived health, fair or poor",Number of persons,44700
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent",Number of persons,540000
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor",Number of persons,19900
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,156900
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",Number of persons,230600
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",Number of persons,132500
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Number of persons,9700
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,Arthritis (15 years and over),Number of persons,143500
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,Diabetes,Number of persons,44300
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,Asthma,Number of persons,46900
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),Number of persons,16500
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,High blood pressure,Number of persons,117600
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,Mood disorder,Number of persons,26800
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional",Number of persons,103500
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Current smoker, daily",Number of persons,73700
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,Heavy drinking,Number of persons,173300
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",Number of persons,355400
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",Number of persons,20600
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,Breast milk feeding initiation,Number of persons,29800
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Exclusive breastfeeding, at least 6 months",Number of persons,4300
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day",Number of persons,268000
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,373300
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied",Number of persons,655800
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,Has a regular healthcare provider,Number of persons,528800
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,Contact with a medical doctor in the past 12 months,Number of persons,470200
2015,"Québec, Quebec","Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,Number of persons,169700
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Number of persons,127600
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Perceived health, fair or poor",Number of persons,15900
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent",Number of persons,150000
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor",Number of persons,7400
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,48500
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",Number of persons,68800
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",Number of persons,38800
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Number of persons,4400
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,Arthritis (15 years and over),Number of persons,33800
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,Diabetes,Number of persons,10200
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,Asthma,Number of persons,16800
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),Number of persons,4900
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,High blood pressure,Number of persons,34200
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,Mood disorder,Number of persons,17300
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional",Number of persons,32500
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Current smoker, daily",Number of persons,26300
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,Heavy drinking,Number of persons,50200
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",Number of persons,104600
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",Number of persons,8800
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,Breast milk feeding initiation,Number of persons,9800
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Exclusive breastfeeding, at least 6 months",Number of persons,
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day",Number of persons,85100
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,121100
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied",Number of persons,187200
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,Has a regular healthcare provider,Number of persons,143700
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,Contact with a medical doctor in the past 12 months,Number of persons,125900
2015,"Sherbrooke, Quebec","Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,Number of persons,47500
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Number of persons,77200
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Perceived health, fair or poor",Number of persons,12400
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent",Number of persons,93100
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor",Number of persons,2900
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,25300
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",Number of persons,40600
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",Number of persons,30300
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Number of persons,2500
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,Arthritis (15 years and over),Number of persons,27600
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,Diabetes,Number of persons,9100
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,Asthma,Number of persons,9300
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),Number of persons,3800
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,High blood pressure,Number of persons,23700
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,Mood disorder,Number of persons,6900
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional",Number of persons,21100
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Current smoker, daily",Number of persons,14800
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,Heavy drinking,Number of persons,25500
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",Number of persons,56200
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",Number of persons,3300
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,Breast milk feeding initiation,Number of persons,6900
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Exclusive breastfeeding, at least 6 months",Number of persons,
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day",Number of persons,46600
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,78500
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied",Number of persons,116200
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,Has a regular healthcare provider,Number of persons,90700
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,Contact with a medical doctor in the past 12 months,Number of persons,86600
2015,"Trois-Rivières, Quebec","Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,Number of persons,28000
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Number of persons,2214400
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Perceived health, fair or poor",Number of persons,317400
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent",Number of persons,2517800
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor",Number of persons,174100
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,862900
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",Number of persons,1087100
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",Number of persons,710200
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Number of persons,44200
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,Arthritis (15 years and over),Number of persons,532300
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,Diabetes,Number of persons,217000
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,Asthma,Number of persons,301000
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),Number of persons,86300
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,High blood pressure,Number of persons,551800
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,Mood disorder,Number of persons,187500
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional",Number of persons,623900
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Current smoker, daily",Number of persons,425400
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,Heavy drinking,Number of persons,696800
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",Number of persons,1838000
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",Number of persons,111100
2015,"Montréal, Quebec","Total, 12 years and over",Both sexes,Breast milk feeding initiation,Number of persons,150900
