City,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Breast milk feeding initiation,Chronic obstructive pulmonary disease (COPD; 35 years and over),Contact with a medical doctor in the past 12 months,"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months","Fruit and vegetable consumption, 5 times or more per day",Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
"Kingston, Ontario",31800,15300,42200,40700,2600,7300,3600,111100,18400,25000,10200,0,39400,132500,30800,26100,70100,133100,19000,16800,92600,38100,12000,95200,84400,5400,105900
"Kitchener-Cambridge-Waterloo, Ontario",90300,44300,106100,131400,5000,17200,11100,294200,61200,81700,28000,4400,138000,387900,90900,76000,122700,387900,55500,52700,278000,95300,34000,298400,233100,16800,288100
"London, Ontario",86600,38400,92400,121700,5500,12200,10900,303000,56200,76100,29200,0,125400,381800,87900,75000,155500,395400,46700,47500,261800,94100,32100,293100,234400,17700,298400
"Moncton, New Brunswick",23900,9200,45400,40700,0,4400,2300,101300,13400,18200,10100,0,34300,112100,25100,25600,40900,117300,14500,15000,76800,23800,8900,89500,58900,2900,77800
"Montréal, Quebec",532300,301000,710200,1087100,44200,150900,86300,2348500,425400,623900,217000,48900,1270500,2374200,696800,551800,801700,3188300,187500,317400,2214400,862900,174100,2517800,1838000,111100,1931600
"Oshawa, Ontario",86400,37500,96400,114600,5500,15400,12300,275300,52100,67600,25200,3600,97800,335700,89100,68900,124600,336500,52500,42800,245200,90500,25500,262400,212100,17300,249400
"Ottawa-Gatineau, Ontario/Quebec",203300,116900,245200,369700,15200,49600,18800,823200,127400,194300,68800,15200,373900,959300,223600,166900,388700,1053600,89500,102500,750300,263200,70400,813800,664600,46700,727300
"Peterborough, Ontario",28400,11800,29600,30300,0,3800,8800,77400,13200,16400,7800,0,27900,91400,20600,20100,38100,91400,12700,11100,63500,21400,7200,67400,59400,3200,75700
"Québec, Quebec",143500,46900,132500,230600,9700,29800,16500,470200,73700,103500,44300,4300,268000,528800,173300,117600,169700,655800,26800,44700,481700,156900,19900,540000,355400,20600,373300
"Regina, Saskatchewan",33700,19400,47500,71400,2900,13300,3200,148300,32100,38400,16600,5200,51600,161100,44400,33000,63400,180200,16700,16600,113500,35300,15200,133600,97000,5900,140000
"Saguenay, Quebec",32500,15800,28300,48900,0,5600,5200,101700,23000,28400,11200,0,43500,112200,35000,27000,44800,129200,11800,12200,86400,29000,5800,101100,69800,3100,91100
"Saint John, New Brunswick",24300,6400,31000,34700,2100,2600,7100,73000,17500,23400,7900,0,26900,91800,20400,19800,39300,88800,10000,12400,60500,20700,7500,67900,50200,3700,66200
"Saskatoon, Saskatchewan",33900,12500,55500,91600,5100,13700,5100,187200,31600,47100,12400,6400,72800,209200,53800,36000,95900,235400,18200,24900,169400,47500,15200,186700,139800,8500,169700
"Sherbrooke, Quebec",33800,16800,38800,68800,4400,9800,4900,125900,26300,32500,10200,0,85100,143700,50200,34200,47500,187200,17300,15900,127600,48500,7400,150000,104600,8800,121100
"St. Catharines-Niagara, Ontario",103600,38500,93100,109300,5000,11100,18200,269600,53600,75200,24400,0,91100,331900,75100,67900,127300,331200,42500,50100,227800,78000,26900,267700,192200,14400,248400
"St. John's, Newfoundland and Labrador",43200,10500,57500,55800,2200,11400,3700,154900,26300,33000,13000,4600,48000,177800,49400,38000,49700,168400,23400,21600,126000,28700,10300,137100,101700,5100,133100
"Thunder Bay, Ontario",25700,8100,29000,34700,0,3200,3800,75800,16800,24000,7400,0,30000,91000,25400,19700,40200,93200,10100,14800,58600,18300,7100,69500,61500,3400,74800
"Toronto, Ontario",895000,397700,962300,1584800,68300,259300,88100,3737100,487100,746200,402800,81800,1296400,4592000,796200,889500,1593500,4653600,332800,564100,3211900,1206100,313200,3646000,2612200,206800,3451900
"Trois-Rivières, Quebec",27600,9300,30300,40600,2500,6900,3800,86600,14800,21100,9100,0,46600,90700,25500,23700,28000,116200,6900,12400,77200,25300,2900,93100,56200,3300,78500
"Vancouver, British Columbia",330600,173900,327100,667600,30900,91600,38300,1651900,162100,273300,130300,33300,607400,1808200,340100,300000,731200,1967900,196100,250500,1321900,442400,160400,1479300,1305500,81000,1471700
"Victoria, British Columbia",66000,24400,58700,108700,1900,16500,8800,249400,27200,46800,18100,6700,111300,262700,56700,44500,115500,292700,33700,36000,199200,56800,18000,230200,201900,13500,221200
"Windsor, Ontario",74300,29100,88200,79100,6000,9000,15700,219800,42100,52500,22500,0,70200,260400,53700,58700,112300,257900,25000,38100,179400,55600,21100,211500,140900,12000,207000
"Winnipeg, Manitoba",141000,59300,158300,201700,13400,32900,18000,496900,90200,131800,41800,13300,172000,574700,121900,120300,215900,617700,60900,78900,424800,145400,48900,470300,346400,28700,453300
